UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
00533,White-Tailed Deer,F,7/8/2020,Transferred,4/17/2021,5070B,Death,9/13/2023,,,9/13/2023,Pneumonia,10953B,Post-mortem Obex and RLN,9/13/2023,Obex and RLN Not Detected,Ante-mortem Rectal,12/1/2021,10953B,Not detected
009LY,White-Tailed Deer,F,6/2/2020,Transferred,3/11/2021,13643B,Death,6/28/2021,,,6/28/2021,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,6/28/2021,Obex and RLN Not Detected,,,,
009M8,White-Tailed Deer,F,6/5/2020,Transferred,4/13/2022,13643B,Death,3/27/2024,,,3/27/2024,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,3/27/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
015WC,White-Tailed Deer,F,6/20/2021,Transferred,5/2/2023,21472B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
01C4N,White-Tailed Deer,F,8/1/2020,Transferred,10/18/2022,12014B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01KN4,White-Tailed Deer,F,5/30/2020,Transferred,4/10/2023,16645B,Death,9/13/2023,,,9/13/2023,Pneumonia,10953B,Post-mortem Obex and RLN,9/13/2023,Obex and RLN Not Detected,Ante-mortem Rectal,2/3/2023,16645B,Not detected
01LQN,White-Tailed Deer,F,5/26/2020,Transferred,6/2/2021,2420B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
01LR2,White-Tailed Deer,F,5/28/2020,Transferred,6/2/2021,2420B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
01M0H,White-Tailed Deer,F,8/9/2020,Transferred,4/24/2023,2420B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
01N8M,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N8N,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
01N8P,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,12/31/2022,,,12/31/2022,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
01N8Q,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N8R,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,9/18/2023,,,9/18/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,9/19/2023,Obex and RLN Not Detected,Ante-mortem Rectal,3/9/2023,10953B,Not detected
01N8T,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N8V,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N8W,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N8X,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N8Y,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,9/27/2023,,,9/27/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,9/27/2023,Obex and RLN Not Detected,,,,
01N90,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,11/28/2023,,,11/28/2023,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,11/29/2023,Obex and RLN Not Detected,Ante-mortem Rectal,3/9/2023,10953B,Not detected
01N91,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,9/16/2024,24892R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N92,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,3/31/2022,,,3/31/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/31/2022,Obex and RLN Not Detected,,,,
01N93,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,1/19/2023,,,1/19/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Not detected,,,,
01N94,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N95,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01N96,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N97,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N98,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N99,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N9B,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,1/23/2023,,,1/23/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Obex and RLN Not Detected,,,,
01N9C,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N9F,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Death,3/31/2022,,,3/31/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/31/2022,"Obex Location, RLN Not Detected",,,,
01N9G,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01N9H,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,1/19/2023,,,1/19/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Not detected,,,,
01N9J,White-Tailed Deer,M,6/12/2020,Birth,6/12/2020,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
