UNIQUE_NUMBER,Years_Present,TESTING_DATE
00533,2021,9/13/2023
00533,2022,9/13/2023
00533,2023,9/13/2023
009LY,2020,6/28/2021
009LY,2021,6/28/2021
009M8,2022,3/27/2024
009M8,2023,3/27/2024
015WC,2023,7/24/2023
01C4N,2022,9/27/2023
01C4N,2023,9/27/2023
01C4N,2024,9/27/2023
01KN4,2023,9/13/2023
01LQN,2021,7/24/2023
01LQN,2022,7/24/2023
01LQN,2023,7/24/2023
01LR2,2021,7/24/2023
01LR2,2022,7/24/2023
01LR2,2023,7/24/2023
01M0H,2023,7/24/2023
01N8M,2020,2/22/2024
01N8M,2021,2/22/2024
01N8M,2022,2/22/2024
01N8M,2023,2/22/2024
01N8M,2024,2/22/2024
01N8N,2023,NA
01N8N,2024,NA
01N8P,2020,1/6/2023
01N8P,2021,1/6/2023
01N8P,2022,1/6/2023
01N8Q,2020,2/22/2024
01N8Q,2021,2/22/2024
01N8Q,2022,2/22/2024
01N8Q,2023,2/22/2024
01N8Q,2024,2/22/2024
01N8R,2020,9/19/2023
01N8R,2021,9/19/2023
01N8R,2022,9/19/2023
01N8R,2023,9/19/2023
01N8T,2020,2/22/2024
01N8T,2021,2/22/2024
01N8T,2022,2/22/2024
01N8T,2023,2/22/2024
01N8T,2024,2/22/2024
01N8V,2020,2/22/2024
01N8V,2021,2/22/2024
01N8V,2022,2/22/2024
01N8V,2023,2/22/2024
01N8V,2024,2/22/2024
01N8W,2020,2/22/2024
01N8W,2021,2/22/2024
01N8W,2022,2/22/2024
01N8W,2023,2/22/2024
01N8W,2024,2/22/2024
01N8X,2020,2/22/2024
01N8X,2021,2/22/2024
01N8X,2022,2/22/2024
01N8X,2023,2/22/2024
01N8X,2024,2/22/2024
01N8Y,2021,9/27/2023
01N8Y,2022,9/27/2023
01N8Y,2023,9/27/2023
01N90,2020,11/29/2023
01N90,2021,11/29/2023
01N90,2022,11/29/2023
01N90,2023,11/29/2023
01N91,2020,2/22/2024
01N91,2021,2/22/2024
01N91,2022,2/22/2024
01N91,2023,2/22/2024
01N91,2024,2/22/2024
01N92,2020,3/31/2022
01N92,2021,3/31/2022
01N93,2020,1/24/2023
01N93,2021,1/24/2023
01N93,2022,1/24/2023
01N94,2020,2/22/2024
01N94,2021,2/22/2024
01N94,2022,2/22/2024
01N94,2023,2/22/2024
01N94,2024,2/22/2024
01N95,2021,7/26/2024
01N95,2022,7/26/2024
01N95,2023,7/26/2024
01N95,2024,7/26/2024
01N96,2020,2/22/2024
01N96,2021,2/22/2024
01N96,2022,2/22/2024
01N96,2023,2/22/2024
01N96,2024,2/22/2024
01N97,2020,2/22/2024
01N97,2021,2/22/2024
01N97,2022,2/22/2024
01N97,2023,2/22/2024
01N97,2024,2/22/2024
01N98,2020,2/22/2024
01N98,2021,2/22/2024
01N98,2022,2/22/2024
01N98,2023,2/22/2024
01N98,2024,2/22/2024
01N99,2020,2/22/2024
